"time","timeDate","close","high","low","open","volumefrom","volumeto"
1486771200000,"2017-02-10",0.0001255,0.0001271,0.0001209,0.0001274,2214.25,0.2718
1486857600000,"2017-02-11",0.0001217,0.0001374,0.0001172,0.0001255,27395.61,3.47
1486944000000,"2017-02-12",0.000118,0.0001309,0.000118,0.0001217,28168.38,3.46
1487030400000,"2017-02-13",0.0001161,0.000124,0.0001121,0.000118,41461.02,4.88
1487116800000,"2017-02-14",0.0001117,0.0001215,0.00011,0.0001161,38856.54,4.49
1487203200000,"2017-02-15",0.0001231,0.0001231,0.0001111,0.0001117,61363.94,7.16
1487289600000,"2017-02-16",0.0001171,0.000125,0.00011,0.0001231,227076.75,26.6
1487376000000,"2017-02-17",0.000117,0.0001245,0.0001128,0.0001171,82988.97,9.65
1487462400000,"2017-02-18",0.0001173,0.0001173,0.0001128,0.000117,35553.69,4.12
1487548800000,"2017-02-19",0.0001126,0.0001205,0.00011,0.0001173,84015.37,9.69
1487635200000,"2017-02-20",0.0001135,0.000117,0.000104,0.0001126,87762.58,9.91
1487721600000,"2017-02-21",0.000108,0.0001135,0.0001035,0.0001135,41038.29,4.3
1487808000000,"2017-02-22",0.000102,0.000108,0.0001,0.000108,43971.19,4.56
1487894400000,"2017-02-23",0.0001034,0.000117,0.000071,0.000102,153496.8,14.14
1487980800000,"2017-02-24",0.0001,0.0001039,0.00009798,0.0001034,65121.69,6.47
1488067200000,"2017-02-25",0.00009869,0.0001006,0.00008958,0.0001,73290.9,6.95
1488153600000,"2017-02-26",0.000098,0.0001018,0.00009333,0.00009869,58103.07,5.64
1488240000000,"2017-02-27",0.00009942,0.00009996,0.00009507,0.000098,135208.19,13.22
1488326400000,"2017-02-28",0.0001128,0.0001139,0.000095,0.00009942,88962.78,8.87
1488412800000,"2017-03-01",0.00009536,0.0001128,0.000094,0.0001128,72259.68,7.13
1488499200000,"2017-03-02",0.00009418,0.0000972,0.000094,0.00009536,49493.24,4.72
1488585600000,"2017-03-03",0.00009557,0.00009773,0.000094,0.00009418,50181.77,4.83
1488672000000,"2017-03-04",0.00009617,0.00009875,0.0000935,0.00009557,32326.17,3.08
1488758400000,"2017-03-05",0.000096,0.00009727,0.0000935,0.00009617,56807.34,5.38
1488844800000,"2017-03-06",0.000099,0.000099,0.000094,0.000096,41159.16,3.96
1488931200000,"2017-03-07",0.0001003,0.0001087,0.000099,0.000099,40240.61,4.02
1489017600000,"2017-03-08",0.0001113,0.00012,0.000099,0.0001003,125450.56,13.86
1489104000000,"2017-03-09",0.0001166,0.0001224,0.000099,0.0001113,244454.02,26.39
1489190400000,"2017-03-10",0.0001212,0.0001234,0.00011,0.0001166,207899.45,24.44
1489276800000,"2017-03-11",0.0001153,0.0001212,0.00011,0.0001212,199714.21,22.94
1489363200000,"2017-03-12",0.000112,0.0001153,0.0001054,0.0001153,71781.04,7.91
1489449600000,"2017-03-13",0.0001099,0.000115,0.0001025,0.000112,125102.11,13.4
1489536000000,"2017-03-14",0.0001031,0.0001141,0.0001025,0.0001099,100388.79,10.54
1489622400000,"2017-03-15",0.0001123,0.0001123,0.000101,0.0001031,101897.31,10.94
1489708800000,"2017-03-16",0.0001234,0.0001297,0.000106,0.0001123,157052.29,19.02
1489795200000,"2017-03-17",0.0001663,0.0001666,0.0001234,0.0001234,145418.49,20.47
1489881600000,"2017-03-18",0.000153,0.0001666,0.000148,0.0001663,83558.45,12.99
1489968000000,"2017-03-19",0.0001541,0.0001666,0.000135,0.000153,151684,22.82
1490054400000,"2017-03-20",0.00014,0.000155,0.0001361,0.0001541,92103.49,13.29
1490140800000,"2017-03-21",0.000159,0.00016,0.00014,0.00014,121031.25,18.76
1490227200000,"2017-03-22",0.0001545,0.0001615,0.000145,0.000159,80847.19,12.53
1490313600000,"2017-03-23",0.0001767,0.00019,0.0001545,0.0001545,134874.75,22.79
1490400000000,"2017-03-24",0.000173,0.000182,0.000165,0.0001767,61034.76,10.42
1490486400000,"2017-03-25",0.0001616,0.00019,0.00016,0.000173,139764.77,23.75
1490572800000,"2017-03-26",0.0001735,0.0001859,0.0001616,0.0001616,185757.71,31.39
1490659200000,"2017-03-27",0.0002117,0.00022,0.0001663,0.0001735,268394.39,51.83
1490745600000,"2017-03-28",0.0002074,0.000219,0.0001942,0.0002117,115571.33,24.15
1490832000000,"2017-03-29",0.0002029,0.000223,0.0001952,0.0002074,144733.58,30.29
1490918400000,"2017-03-30",0.000194,0.000214,0.00019,0.0002029,116728.91,23.3
1491004800000,"2017-03-31",0.0001881,0.0001992,0.00016,0.000194,93286.75,17.01
1491091200000,"2017-04-01",0.000176,0.0001891,0.000176,0.0001881,36856.87,6.7
1491177600000,"2017-04-02",0.0001616,0.0001844,0.000155,0.000176,54249.22,9.09
1491264000000,"2017-04-03",0.00017,0.00017,0.0001616,0.0001616,24429.14,4.13
1491350400000,"2017-04-04",0.000158,0.0001736,0.000148,0.00017,59233.29,9.46
1491436800000,"2017-04-05",0.000155,0.0001656,0.000148,0.000158,81548.85,12.45
1491523200000,"2017-04-06",0.0001578,0.00016,0.00015,0.000155,22091.6,3.45
1491609600000,"2017-04-07",0.0001614,0.000166,0.0001578,0.0001578,8487.48,1.37
1491696000000,"2017-04-08",0.000159,0.000166,0.00015,0.0001614,60841.57,9.39
1491782400000,"2017-04-09",0.0001703,0.0001765,0.000159,0.000159,22923.4,3.79
1491868800000,"2017-04-10",0.0001674,0.0001703,0.0001538,0.0001703,62315.88,10.07
1491955200000,"2017-04-11",0.0001566,0.000171,0.000155,0.0001674,126260.28,20.26
1492041600000,"2017-04-12",0.0001676,0.0001676,0.0001566,0.0001566,8196.16,1.34
1492128000000,"2017-04-13",0.0001677,0.0001678,0.0001575,0.0001676,46693.52,7.49
1492214400000,"2017-04-14",0.000164,0.0001677,0.0001578,0.0001677,7389.66,1.19
1492300800000,"2017-04-15",0.000165,0.0001798,0.0001578,0.000164,91079.23,15.13
1492387200000,"2017-04-16",0.0001552,0.0001698,0.000144,0.000165,234665.2,37.18
1492473600000,"2017-04-17",0.0001453,0.00016,0.0001421,0.0001552,96844.33,14.7
1492560000000,"2017-04-18",0.000161,0.000162,0.0001416,0.0001453,134120.29,20.49
1492646400000,"2017-04-19",0.000149,0.0001648,0.0001432,0.000161,191212.09,29.04
1492732800000,"2017-04-20",0.00015,0.0001536,0.0001401,0.000149,291458.82,42.69
1492819200000,"2017-04-21",0.0001452,0.000172,0.0001405,0.00015,638022.5,97.75
1492905600000,"2017-04-22",0.00014,0.000155,0.0001285,0.0001452,205407.21,28.74
1492992000000,"2017-04-23",0.0001378,0.000149,0.0001285,0.00014,285001.1,38.76
1493078400000,"2017-04-24",0.000146,0.000147,0.0001325,0.0001378,216271.31,30.6
1493164800000,"2017-04-25",0.0001435,0.0001499,0.000142,0.000146,338839.82,49.23
1493251200000,"2017-04-26",0.0001578,0.00016,0.0001399,0.0001435,209351.61,31.21
1493337600000,"2017-04-27",0.000173,0.00018,0.0001509,0.0001578,299881.85,49.8
1493424000000,"2017-04-28",0.0002069,0.0002399,0.0001687,0.000173,424175.24,81.51
1493510400000,"2017-04-29",0.000269,0.0002978,0.0002044,0.0002069,350321.84,91.76
1493596800000,"2017-04-30",0.00024,0.0002844,0.0001801,0.000269,380257.55,86
1493683200000,"2017-05-01",0.000239,0.0002417,0.00019,0.00024,134047.9,28.54
1493769600000,"2017-05-02",0.0002332,0.000261,0.0002,0.000239,237771.95,54.96
1493856000000,"2017-05-03",0.0003247,0.0003247,0.0002125,0.0002332,385606.5,105.74
1493942400000,"2017-05-04",0.000332,0.00036,0.0002507,0.0003247,386579.51,122.45
1494028800000,"2017-05-05",0.0003785,0.00038,0.0003054,0.000332,260716.48,91.29
1494115200000,"2017-05-06",0.000321,0.00039,0.00032,0.0003785,180578.59,64.3
1494201600000,"2017-05-07",0.000256,0.0003499,0.000256,0.000321,153335.14,46.73
1494288000000,"2017-05-08",0.000245,0.0003093,0.0002021,0.000256,162832,40.72
1494374400000,"2017-05-09",0.0002643,0.0003167,0.000245,0.000245,122631.92,35.03
1494460800000,"2017-05-10",0.0002619,0.0003,0.0002171,0.0002643,132070.76,33.53
1494547200000,"2017-05-11",0.0002879,0.0002966,0.00025,0.0002619,122579.04,33.6
1494633600000,"2017-05-12",0.0002677,0.0002987,0.0002481,0.0002879,81145.5,21.82
1494720000000,"2017-05-13",0.0002618,0.000295,0.0002475,0.0002677,129391.5,33.91
1494806400000,"2017-05-14",0.0002697,0.0002905,0.0002502,0.0002618,140044.06,37.37
1494892800000,"2017-05-15",0.0002542,0.000273,0.0002502,0.0002697,77178.74,20.06
1494979200000,"2017-05-16",0.000268,0.00027,0.0002211,0.0002542,94205.51,23.32
1495065600000,"2017-05-17",0.0002883,0.0003,0.0002599,0.000268,219135.88,62.31
1495152000000,"2017-05-18",0.000367,0.0003953,0.000275,0.0002883,323418.72,106.12
1495238400000,"2017-05-19",0.0004178,0.0004178,0.0003475,0.000367,232621.09,89.43
